,index,alcoholName,sweetness,sourness,freshness,body,degree,sparkling,alcoholType,keyword,volume,price,manufacturer,ingredients,foodPairing,imageURL,detailPageUrl,docId
23,23,강소주,,,,3,,0.0,,향기    바디감     증류주 쌀  소용량,,,,,도수가 높지만 단맛이 강해 입 안의 느낌과 마시고 난 후가 매우 깔끔하다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681176-%EA%B0%95%EC%86%8C%EC%A3%BC_main.jpg,https://terms.naver.com/entry.naver?docId=5681176&cid=58637&categoryId=58654,5681176
24,24,강쇠,2.0,2.0,1.0,4,,0.0,,바디감     약주/청주 쌀 오가피,,,,,감자탕과 잘 어울리는 술이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595293-%EA%B0%95%EC%87%A0_main.JPG,https://terms.naver.com/entry.naver?docId=3595293&cid=58637&categoryId=58655,3595293
25,25,걍즐겨,3.0,4.0,3.0,3,,0.0,,단맛 신맛 청량감 바디감     탁주 쌀 찹쌀  이색전통주,,,,,"다른 안주와의 궁합도 있겠지만, 이 막걸리만큼은 안주 없이 술만 마셔도 충분히 재미있게 즐길 수 있다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040762-%EA%B1%8D%EC%A6%90%EA%B2%A8_main.jpg,https://terms.naver.com/entry.naver?docId=6040762&cid=58637&categoryId=58644,6040762
26,26,겨울소주 25,,,,4,,0.0,,향기    바디감 목넘김    증류주  겨울,,,,,양념이 되어 있는 돼지볶음 등과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040725-%EA%B2%A8%EC%9A%B8%EC%86%8C%EC%A3%BC%2025_main.jpg,https://terms.naver.com/entry.naver?docId=6040725&cid=58637&categoryId=58654,6040725
27,27,경기전,2.0,3.0,4.0,2,,0.0,,신맛 청량감      기타주류 보리  탄산,,,,,맥주에 어울리는 모든 안주와 음식궁합이 잘 맞는다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804493-%EA%B2%BD%EA%B8%B0%EC%A0%84_main.jpg,https://terms.naver.com/entry.naver?docId=5804493&cid=58637&categoryId=58655,5804493
28,28,계룡백일주 12년,3.0,,,4,,0.0,,향기 단맛   바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎,,,,,잔칫상 음식과 두루 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595224-%EA%B3%84%EB%A3%A1%EB%B0%B1%EC%9D%BC%EC%A3%BC%2012%EB%85%84_main.jpg,https://terms.naver.com/entry.naver?docId=3595224&cid=58637&categoryId=58654,3595224
29,29,계룡백일주16,1.0,1.0,1.0,1,16,0.0,약주/청주,약주/청주 쌀 찹쌀 오미자 꽃 솔잎,700ml,18500,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",,,,legacy_29
30,30,계룡백일주30,2.0,,,3,30,0.0,기타주류,바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎,400ml,20000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",,,,legacy_30
31,31,계룡백일주40,3.0,,,3,40,0.0,기타주류,향기 단맛   바디감     기타주류 쌀 찹쌀 오미자 꽃 솔잎,600ml,40000,계룡백일주,"찹쌀,백미,누룩,재리종국화꽃,오미자,진달래,재래종솔잎",,,,legacy_31
32,32,계룡산 산삼주 금수강산 21%,,,,2,,0.0,,증류주 삼  삼(蔘)류,,,,,삼계탕과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681162-%EA%B3%84%EB%A3%A1%EC%82%B0%20%EC%82%B0%EC%82%BC%EC%A3%BC%20%EA%B8%88%EC%88%98%EA%B0%95%EC%82%B0%2021_main.jpg,https://terms.naver.com/entry.naver?docId=5681162&cid=58637&categoryId=58654,5681162
33,33,계룡산 산삼주 금수강산 40%,,,,3,,0.0,,향기    바디감 목넘김    증류주 삼  삼(蔘)류,,,,,삼계탕과 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681170-%EA%B3%84%EB%A3%A1%EC%82%B0%20%EC%82%B0%EC%82%BC%EC%A3%BC%20%EA%B8%88%EC%88%98%EA%B0%95%EC%82%B0%2040_main.jpg,https://terms.naver.com/entry.naver?docId=5681170&cid=58637&categoryId=58654,5681170
34,34,고구마 아락,2.0,,,3,,0.0,,향기    바디감     증류주 보리 고구마,,,,,견과류와 잘 어울린다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595276-%EA%B3%A0%EA%B5%AC%EB%A7%88%20%EC%95%84%EB%9D%BD_main.jpg,https://terms.naver.com/entry.naver?docId=3595276&cid=58637&categoryId=58655,3595276
35,35,고도리 레드와인 스위트,3.0,3.0,2.0,3,,0.0,,단맛 신맛  바디감     과실주 포도 머루,,,,,"탄닌감이 강하지 않지만 충분히 육류와 즐길 수 있는 바디감이 있어 자극성 적은 육회, 수육, 불고기 등을 추천한다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681145-%EA%B3%A0%EB%8F%84%EB%A6%AC%20%EB%A0%88%EB%93%9C%EC%99%80%EC%9D%B8%20%EC%8A%A4%EC%9C%84%ED%8A%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5681145&cid=58637&categoryId=58657,5681145
36,36,고도리 복숭아와인,4.0,3.0,3.0,2,,0.0,,단맛 신맛 청량감    탄닌감  과실주 복숭아  이색전통주,,,,,"말린 과일(망고), 과일을 이용한 디저트, 향이 강한 치즈류 등과 잘 어울린다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681142-%EA%B3%A0%EB%8F%84%EB%A6%AC%20%EB%B3%B5%EC%88%AD%EC%95%84%EC%99%80%EC%9D%B8_main.jpg,https://terms.naver.com/entry.naver?docId=5681142&cid=58637&categoryId=58657,5681142
37,37,고도리 화이트와인 드라이,2.0,3.0,3.0,2,,0.0,,신맛 청량감      과실주 포도  저도수,,,,,특히 광어나 우럭 등 기름기가 적은 생선회가 잘 맞는다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681146-%EA%B3%A0%EB%8F%84%EB%A6%AC%20%ED%99%94%EC%9D%B4%ED%8A%B8%EC%99%80%EC%9D%B8%20%EB%93%9C%EB%9D%BC%EC%9D%B4_main.jpg,https://terms.naver.com/entry.naver?docId=5681146&cid=58637&categoryId=58657,5681146
