index,제품명,단맛,신맛,청량감,바디감,도수%,탄산,주종,keyword,용량,가격,제조사,원재료,어울리는음식,사진URL,detailPageUrl,docId
426,찰막걸리,2.0,2.0,3.0,2,5.5,0.0,탁주,청량감      탁주 쌀 찹쌀 밀,750ml,1500,(주)1932포천일동막걸리,"정제수,쌀,밀가루,찹쌀,입국,효모정제효소제,아스파탐",,,,legacy_422
427,창원생탁주,3.0,3.0,3.0,3,6,0.0,탁주,단맛 신맛 청량감 바디감     탁주 쌀,750ml,1000,농업회사법인우포의아침(주),"쌀,누룩,효소,아스파탐,정제수",,,,legacy_423
428,천년담주,2.0,1.0,1.0,4,15,0.0,약주/청주,바디감     약주/청주 꿀,500ml,10000,농업회사법인(주)죽향도가,"백미,벌꿀,정제수",,,,legacy_424
429,천년전주생막걸리,1.0,1.0,2.0,3,6,0.0,탁주,바디감     탁주 쌀,750ml,1300,(유)산에들에농업회사법인,"정제수,쌀,소맥분,수쿠랄로스,효모,젖산,정제효소",,,,legacy_425
430,천년주,,,,2,25,0.0,증류주,목넘김    증류주 쌀,375ml,15000,농업회사법인(주)영덕주조,"쌀,천년초,조효소제,효모,젖산,정제효소,구연산,정제수",,,,legacy_426
431,천등산차례주,3.0,2.0,2.0,3,11,0.0,약주/청주,단맛   바디감     약주/청주 쌀,700ml,5900,고헌정영농조합법인,"쌀,구연산,효모,젖산,정제효소제,국,주정,정제수",,,,legacy_427
432,천마몽,3.0,,,3,38,0.0,기타주류,단맛   바디감     기타주류 쌀,375ml,15000,덕유양조,"쌀,누룩,효모,천마,정제수",,,,legacy_428
433,천마이야기,2.0,2.0,2.0,5,6,0.0,탁주,바디감     탁주 오미자,750ml,1500,농업회사법인산들벗(주),"팽화미,입국미,무주천마분말,오미자추출액",,,,legacy_429
434,천매,2.0,,,4,30,0.0,기타주류,향기    바디감     기타주류 꿀,600ml,130000,더한주류,"매실주원액,발효주정,정제수,꿀",,,,legacy_430
435,천비향오양주약주,2.0,2.0,1.0,3,16,0.0,약주/청주,바디감     약주/청주 쌀  파티,500ml,40000,농업회사법인(주)좋은술,"국내산쌀,누룩",,,,legacy_431
